date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,forecast_quantity
2024-06-01,Peripherals,Storage,P102,AQ SATA SSD,Canada,E-Commerce,Direct,ZZZ5506,,127
2024-02-01,Peripherals,-,P112,AQ RGB Strip,Australia,Brick & Mortar,Direct,90000007,Walmart,358
2024-01-01,PC,Ultrabook,P110,AQ SlimBook 14,UK,E-Commerce,Direct,90000028,Target,11
2024-01-01,Peripherals,Memory,P104,AQ DDR5 RAM,Germany,Brick & Mortar,Retailer,90000015,Euronics,272 units
2024-01-01,PC,Custom PC,P109,AQ Titan Gaming,India,Brick & Mortar,Direct,90000013,MediaMarkt,381
2024-06-01,PC,Custom PC,P109,AQ Titan Gaming,Germany,Brick & Mortar,Retailer,90000027,Walmart,121
2024-05-01,Peripherals,Headphones,P105,AQ Bass Master,India,Brick & Mortar,Direct,90000001,Amazon,388
2024-06-01,Peripherals,Mouse,P107,AQ Gaming Mouse,Sweden,E-Commerce,Direct,90000022,Amazon ,141
2024-02-01,Peripherals,,P113,AQ Mousepad,Sweden,E-Commerce,Direct,90000022,Amazon ,49
2024-04-01,Peripherals,Storage,P102,AQ SATA SSD,Singapore,Brick & Mortar,Direct,90000023,Atliq Exclusive,439
2024-05-01,Peripherals,Headphones,P105,AQ Bass Master,Germany,Brick & Mortar,Retailer,ZZZ8527,,272
2024-04-01,Peripherals,Storage,P102,AQ SATA SSD,UAE,E-Commerce,Retailer,90000036,Staples,165
2024-05-01,Peripherals,Storage,P101,AQ NVMe SSD,UAE,E-Commerce,Retailer,90000024,AltiQ Exclusive,296
2024-06-01,Peripherals,Storage,P102,AQ SATA SSD,Germany,Brick & Mortar,Retailer,90000003,Atliq Exclusive,340 units
2024-03-01,Peripherals,Storage,P102,AQ SATA SSD,Germany,Brick & Mortar,Retailer,90000015,Euronics,441
2024-04-01,Peripherals,Headphones,P105,AQ Bass Master,Japan,E-Commerce,Retailer,90000030,Croma,331
2024-02-01,Peripherals,Headphones,P106,AQ Studio Pro,Singapore,Brick & Mortar,Direct,90000023,Atliq Exclusive,110
2024-06-01,Peripherals,Storage,P101,AQ NVMe SSD,Germany,Brick & Mortar,Retailer,90000003,Atliq Exclusive,50
2024-06-01,Peripherals,Memory,P103,AQ DDR4 RAM,Singapore,Brick & Mortar,Direct,90000035,Euronics,375
