date,division,category,product_code,product,market,platform,channel,customer_code,customer_name,sold_quantity
2024-06-01,Peripherals,Storage,P102,AQ SATA SSD,Canada,E-Commerce,Direct,ZZZ5506,,130
2024-02-01,Peripherals,-,P112,AQ RGB Strip,Australia,Brick & Mortar,Direct,90000007,Walmart,351
2024-01-01,PC,Ultrabook,P110,AQ SlimBook 14,UK,E-Commerce,Direct,90000028,Target,21
2024-01-01,Peripherals,Memory,P104,AQ DDR5 RAM,Germany,Brick & Mortar,Retailer,90000015,Euronics,263 units
2024-01-01,PC,Custom PC,P109,AQ Titan Gaming,India,Brick & Mortar,Direct,90000013,MediaMarkt,371
2024-06-01,PC,Custom PC,P109,AQ Titan Gaming,Germany,Brick & Mortar,Retailer,90000027,Walmart,117
2024-05-01,Peripherals,Headphones,P105,AQ Bass Master,India,Brick & Mortar,Direct,90000001,Amazon,393
2024-06-01,Peripherals,Mouse,P107,AQ Gaming Mouse,Sweden,E-Commerce,Direct,90000022,Amazon ,147
2024-02-01,Peripherals,,P113,AQ Mousepad,Sweden,E-Commerce,Direct,90000022,Amazon ,57
2024-04-01,Peripherals,Storage,P102,AQ SATA SSD,Singapore,Brick & Mortar,Direct,90000023,Atliq Exclusive,438
2024-05-01,Peripherals,Headphones,P105,AQ Bass Master,Germany,Brick & Mortar,Retailer,ZZZ8527,,279
2024-04-01,Peripherals,Storage,P102,AQ SATA SSD,UAE,E-Commerce,Retailer,90000036,Staples,155
2024-05-01,Peripherals,Storage,P101,AQ NVMe SSD,UAE,E-Commerce,Retailer,90000024,AltiQ Exclusive,300
2024-06-01,Peripherals,Storage,P102,AQ SATA SSD,Germany,Brick & Mortar,Retailer,90000003,Atliq Exclusive,343 units
2024-03-01,Peripherals,Storage,P102,AQ SATA SSD,Germany,Brick & Mortar,Retailer,90000015,Euronics,448
2024-04-01,Peripherals,Headphones,P105,AQ Bass Master,Japan,E-Commerce,Retailer,90000030,Croma,330
2024-02-01,Peripherals,Headphones,P106,AQ Studio Pro,Singapore,Brick & Mortar,Direct,90000023,Atliq Exclusive,112
2024-06-01,Peripherals,Storage,P101,AQ NVMe SSD,Germany,Brick & Mortar,Retailer,90000003,Atliq Exclusive,41
2024-06-01,Peripherals,Memory,P103,AQ DDR4 RAM,Singapore,Brick & Mortar,Direct,90000035,Euronics,378
2024-02-01,Peripherals,Keyboard,P108,AQ Mech Keyboard,India,Brick & Mortar,Direct,90000025,Flipkart,143
2024-06-01,PC,Custom PC,P109,AQ Titan Gaming,Germany,Brick & Mortar,Retailer,ZZZ6313,,436
2024-02-01,Peripherals,Mouse,P114,AQ Wireless Mouse,Germany,Brick & Mortar,Retailer,90000003,Atliq Exclusive,417
2024-04-01,Peripherals,Headphones,P105,AQ Bass Master,France,UNKNOWN,Direct,90000005,Flipkart,113
2024-06-01,Peripherals,Headphones,P106,AQ Studio Pro,USA,E-Commerce,Direct,90000014,Boulanger,340 units
2024-04-01,Peripherals,Storage,P101,AQ NVMe SSD,Germany,Brick & Mortar,Retailer,90000003,Atliq Exclusive,239
2024-03-01,Peripherals,Memory,P103,AQ DDR4 RAM,Canada,E-Commerce,Direct,90000016,Staples,386
2024-05-01,Peripherals,Headphones,P105,AQ Bass Master,USA,E-Commerce,Direct,90000038,Argos,224
2024-04-01,Peripherals,Headphones,P106,AQ Studio Pro,Germany,Brick & Mortar,Retailer,90000015,Euronics,75
2024-04-01,Peripherals,Storage,P102,AQ SATA SSD,UK,E-Commerce,Direct,90000004,AltiQ Exclusive,445
2024-02-01,Peripherals,UNKNOWN,P111,AQ Generic Fan,Singapore,Brick & Mortar,Direct,90000011,Reliance Digital,410
2024-05-01,Peripherals,Storage,P102,AQ SATA SSD,India,Brick & Mortar,Direct,ZZZ7252,,310
